Date,0050.TW,GLD,QQQ,SPY
2005-10-10,1.0,1.0,1.0,1.0
2005-10-11,1.0,1.0004222178217153,0.9950171767621467,0.9985663238447366
2005-10-12,1.0,0.9890225782248507,0.9832156054894959,0.9907251455346158
2005-10-13,1.0,0.9926113894445222,0.9908208440947734,0.9901342643463823
2005-10-14,1.0,0.9879670739354703,0.9981644262626767,1.0005902273519518
2005-10-17,1.0,0.9976778422454741,1.0013110906638385,1.004300094413959
2005-10-18,1.0,0.9921891716228071,0.9942301010922986,0.9934232476533816
2005-10-19,1.0,0.9782563056254666,1.014162213182827,1.0099494266976672
2005-10-20,1.0,0.9706565458942236,1.004720815740858,0.9921581678535975
2005-10-21,1.0,0.9820561854910881,1.0110153147419179,0.9960370982969994
2005-10-24,1.0,0.979311809914847,1.0270128676223211,1.0114671675177125
2005-10-25,1.0,0.9934558250879526,1.0230790105314376,1.0094435442260465
2005-10-26,1.0,0.9907114495117115,1.0178340627767155,1.0064923140611042
2005-10-27,1.0,0.9959890514884285,0.9973773505928285,0.9957838768456397
2005-10-28,1.0,0.9968334871318589,1.0049825891981061,1.0101183032686958
2005-10-31,1.0,0.9795229590906123,1.0194078630567909,1.0129002832418772
2005-11-01,1.0,0.9653789439175066,1.0186205533471955,1.0159357648819676
2005-11-02,1.0,0.97382313929218,1.031996158939669,1.0265598572171009
2005-11-03,1.0,0.9702343280725084,1.0474691117267136,1.030944109701025
2005-11-04,1.0,0.9607346284084546,1.0511410783404755,1.029595058641642
2005-11-07,1.0,0.966223379560937,1.0524522860241878,1.0306068235848835
2005-11-08,1.0,0.969178823783128,1.0527147616006773,1.0306068235848835
2005-11-09,1.0,0.9829006211345185,1.0532387765946678,1.0319558746442663
2005-11-10,1.0,0.9812117498476577,1.064778457390197,1.0399661163357818
2005-11-11,1.0,0.9879670739354703,1.0676629972744902,1.043507480447493
2005-11-14,1.0,0.9841671940698489,1.0676629972744902,1.0429171596903581
2005-11-15,1.0,0.9850116297132793,1.0626800570167632,1.039123321368752
2005-11-16,1.0,1.0086552640206234,1.0692366805346918,1.0412307291096505
2005-11-17,1.0,1.0234325656613943,1.0833993617970132,1.0509273079766905
2005-11-18,1.0,1.023010347839679,1.0870708603312809,1.0550590862507196
2005-11-21,1.0,1.0341989187905936,1.0896932756987052,1.060370852202737
2005-11-22,1.0,1.0411653115243562,1.0936272498094624,1.0649240746628728
2005-11-23,1.0,1.0375765808344999,1.0962500162365074,1.0710792894182015
2005-11-25,1.0,1.0432763201031168,1.0986101900671894,1.0719223646007807
2005-11-28,1.0,1.0500317247207447,1.0894308001222155,1.0643336605005547
2005-11-29,1.0,1.051298297656075,1.0841858523674934,1.0631534860122003
2005-11-30,1.0,1.0365209960153041,1.081563437000069,1.0574197154429779
2005-12-01,1.0,1.059109126033268,1.1017568544683511,1.0682124041335903
2005-12-02,1.0,1.0622757194312245,1.1043796208953962,1.0695617354085225
2005-12-05,1.0,1.0719864877412282,1.0962500162365074,1.067285077475863
2005-12-06,1.0,1.074308645495754,1.0999217488105222,1.069308513957163
